kind,agency_slug,parent_slug,officeName,pageTitle,phone,hours,address_line1,address_line2,city,state,zip,singleLineAddress,mapSearchUrl,sourceUrl,cmsStatus,locationLabel,notes,liveFormId,headlessFormId,officeImageUrl,needsReview,agent_count
single,wilmington,,"AmeriLife of Wilmington, LLC","AmeriLife of Wilmington, LLC",(910) 791-8402,Monday-Friday 8am-5pm,"1410 Commonwealth Drive, Suite 103-B",,Wilmington,NC,28403,"1410 Commonwealth Drive, Suite 103-B, Wilmington, NC 28403",https://www.google.com/maps/search/?api=1&query=1410%20Commonwealth%20Drive%2C%20Suite%20103-B%2C%20Wilmington%2C%20NC%2028403,https://amerilife.com/wilmington/,Active,Find an Agent – Wilmington NC,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,tampabay,,"AmeriLife of Tampa Bay, LLC","AmeriLife of Tampa Bay, LLC",(813) 548-7467,Monday-Friday 8am-5pm,330 Pauls Dr.,Suite #110,Brandon,FL,33511,"330 Pauls Dr., Suite #110, Brandon, FL 33511",https://www.google.com/maps/search/?api=1&query=330%20Pauls%20Dr.%2C%20Suite%20%23110%2C%20Brandon%2C%20FL%2033511,https://amerilife.com/tampabay/,Active,Find an Agent – Tampa Bay FL (Brandon),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,eastpasco,,"AmeriLife of East Pasco, LLC","AmeriLife of East Pasco, LLC",,Monday-Friday 8am-5pm,35364 State Road 54,,Zephyrhills,FL,33541,"35364 State Road 54, Zephyrhills, FL 33541",https://www.google.com/maps/search/?api=1&query=35364%20State%20Road%2054%2C%20Zephyrhills%2C%20FL%2033541,https://amerilife.com/eastpasco/,Active,Find an Agent – East Pasco FL (Zephyrhills),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,missing_phone,1
single,lakecounty,,"AmeriLife of Lake County, LLC","AmeriLife of Lake County, LLC",(352) 460-4505,Monday-Friday 8am-5pm,9800 US-441 #101,,Leesburg,FL,34788,"9800 US-441 #101, Leesburg, FL 34788",https://www.google.com/maps/search/?api=1&query=9800%20US-441%20%23101%2C%20Leesburg%2C%20FL%2034788,https://amerilife.com/lakecounty/,Active,Find an Agent – Lake County FL (Leesburg),Separate from /debary/ (DeBary satellite),31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,southcarolina,,"AmeriLife of South Carolina, LLC","AmeriLife of South Carolina, LLC",(864) 479-0801,Monday-Friday 8am-5pm,"420 The Parkway, Suite F",,Greer,SC,29650,"420 The Parkway, Suite F, Greer, SC 29650",https://www.google.com/maps/search/?api=1&query=420%20The%20Parkway%2C%20Suite%20F%2C%20Greer%2C%20SC%2029650,https://amerilife.com/southcarolina/,Active,Find an Agent – South Carolina (Greer / Upstate),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,northcarolina,,"AmeriLife of North Carolina, LLC","AmeriLife of North Carolina, LLC",(800) 280-5563,Monday-Friday 8am-5pm,11016 Rushmore Dr. Ste.175,,Charlotte,NC,28277,"11016 Rushmore Dr. Ste.175, Charlotte, NC 28277",https://www.google.com/maps/search/?api=1&query=11016%20Rushmore%20Dr.%20Ste.175%2C%20Charlotte%2C%20NC%2028277,https://amerilife.com/northcarolina/,Active,Find an Agent – North Carolina (Charlotte),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,sarabay,,"AmeriLife of Sara-Bay, LLC","AmeriLife of Sara-Bay, LLC",(941) 753-5688,Monday-Friday 8am-5pm,"5540 E State Rd 64, Suite 200",,Bradenton,FL,34208,"5540 E State Rd 64, Suite 200, Bradenton, FL 34208",https://www.google.com/maps/search/?api=1&query=5540%20E%20State%20Rd%2064%2C%20Suite%20200%2C%20Bradenton%2C%20FL%2034208,https://amerilife.com/sarabay/,Active,Find an Agent – Sara-Bay FL (Bradenton),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,leecounty,,"AmeriLife of Lee County, LLC","AmeriLife of Lee County, LLC",(239) 936-8667,Monday-Friday 8am-5pm,"12195 Metro Parkway, Suite 4",,Ft Myers,FL,33966,"12195 Metro Parkway, Suite 4, Ft Myers, FL 33966",https://www.google.com/maps/search/?api=1&query=12195%20Metro%20Parkway%2C%20Suite%204%2C%20Ft%20Myers%2C%20FL%2033966,https://amerilife.com/leecounty/,Active,Find an Agent – Lee County FL (Fort Myers),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,centralflorida,,"AmeriLife of Central Florida, LLC","AmeriLife of Central Florida, LLC",(407) 629-0261,Monday-Friday 8am-5pm,631 South Orlando Ave,Suite 104,Winter Park,FL,32789,"631 South Orlando Ave, Suite 104, Winter Park, FL 32789",https://www.google.com/maps/search/?api=1&query=631%20South%20Orlando%20Ave%2C%20Suite%20104%2C%20Winter%20Park%2C%20FL%2032789,https://amerilife.com/centralflorida/,Active,Find an Agent – Central Florida (Winter Park),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,indianriver,,"AmeriLife of Indian River County, LLC","AmeriLife of Indian River County, LLC",,Monday-Friday 8am-5pm,1961 SW Park Place Suite 201,,Vero Beach,FL,32966,"1961 SW Park Place Suite 201, Vero Beach, FL 32966",https://www.google.com/maps/search/?api=1&query=1961%20SW%20Park%20Place%20Suite%20201%2C%20Vero%20Beach%2C%20FL%2032966,https://amerilife.com/indianriver/,Active,Find an Agent – Indian River County FL (Port St Lucie / Vero Beach),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,missing_phone,1
single,stpetersburg,,"AmeriLife of St Petersburg, LLC","AmeriLife of St Petersburg, LLC",(727) 471-0079,Monday-Friday 8am-5pm,"3831 Tyrone Blvd., Suite 203",,St Petersburg,FL,33709,"3831 Tyrone Blvd., Suite 203, St Petersburg, FL 33709",https://www.google.com/maps/search/?api=1&query=3831%20Tyrone%20Blvd.%2C%20Suite%20203%2C%20St%20Petersburg%2C%20FL%2033709,https://amerilife.com/stpetersburg/,Active,Find an Agent – St Petersburg FL,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,northflorida,,"AmeriLife of North Florida, LLC","AmeriLife of North Florida, LLC",(904) 731-0827,Monday-Friday 8am-5pm,"8081 Philips Highway, Suite 10",,Jacksonville,FL,32256,"8081 Philips Highway, Suite 10, Jacksonville, FL 32256",https://www.google.com/maps/search/?api=1&query=8081%20Philips%20Highway%2C%20Suite%2010%2C%20Jacksonville%2C%20FL%2032256,https://amerilife.com/northflorida/,Active,Find an Agent – North Florida (Jacksonville),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,southflorida,,"AmeriLife of South Florida, LLC","AmeriLife of South Florida, LLC",(305) 591-4368,Monday-Friday 8am-5pm,"3625 NW 82nd Ave, Suite 401",,Doral,FL,33166,"3625 NW 82nd Ave, Suite 401, Doral, FL 33166",https://www.google.com/maps/search/?api=1&query=3625%20NW%2082nd%20Ave%2C%20Suite%20401%2C%20Doral%2C%20FL%2033166,https://amerilife.com/southflorida/,Active,Find an Agent – South Florida (Doral),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,winstonsalem,,"AmeriLife of Winston-Salem, LLC","AmeriLife of Winston-Salem, LLC",(800) 322-2593,Monday-Friday 8am-5pm,4375 Silas Creek Parkway,,Winston-Salem,NC,27104,"4375 Silas Creek Parkway, Winston-Salem, NC 27104",https://www.google.com/maps/search/?api=1&query=4375%20Silas%20Creek%20Parkway%2C%20Winston-Salem%2C%20NC%2027104,https://amerilife.com/winstonsalem/,Active,Find an Agent – Winston-Salem NC,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,polk,,"AmeriLife of Polk County, LLC","AmeriLife of Polk County, LLC",(863) 291-4111,Monday-Friday 8am-5pm,6322 Cypress Gardens Blvd.,,Winter Haven,FL,33884,"6322 Cypress Gardens Blvd., Winter Haven, FL 33884",https://www.google.com/maps/search/?api=1&query=6322%20Cypress%20Gardens%20Blvd.%2C%20Winter%20Haven%2C%20FL%2033884,https://amerilife.com/polk/,Active,Find an Agent – Polk County FL (Winter Haven) – Old template,Versión anterior a /polk-county/ (mismo agente Ryan Atkins),31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,debary,,"AmeriLife of Lake County, LLC","AmeriLife of Lake County, LLC",(386) 516-6947,Monday-Friday 8am-5pm,"275 S Charles Richard Beall Blvd, Suite 108",,Debary,FL,33884,"275 S Charles Richard Beall Blvd, Suite 108, Debary, FL 33884",https://www.google.com/maps/search/?api=1&query=275%20S%20Charles%20Richard%20Beall%20Blvd%2C%20Suite%20108%2C%20Debary%2C%20FL%2033884,https://amerilife.com/debary/,Active,Find an Agent – DeBary FL (Lake County satellite),Satélite de /lakecounty/ – en sitemap,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,2
